Username,Message,Timestamp
@SaritaHembrom-fu2lo,,2026-07-14 17:21:22
@krishnakr-25,bbu,2026-07-14 17:21:22
@biswanathsardar-uf8ep,yes sir,2026-07-14 17:21:22
@2ICDebarghya_Roy,Jai Maa Kamakhya Jai Baba Kaal Bhairav,2026-07-14 17:21:22
@HemaSree12,585.56/944.44= ? how to solve these in easy way,2026-07-14 17:21:22
@Disha-x2e7q,mera clg exam tha sir isliye kuch din se class nehi kar pa rehi thi but abb main start karungi sir,2026-07-14 17:21:22
@Meenakshi-s2e,hello,2026-07-14 17:52:26
@aayesha1520,sir viral math ka youtube channel nhi mil rh h mujh,2026-07-14 19:30:07
@TechEr14,PR JO PURAANE CHAWAL HAIN VO EVENT LAGTE HE NOTIFICATION ON KR LETE HAI OR SHARE KR DETE HAIN !!!,2026-07-14 19:33:37
@TechEr14,RAM - RAM  BHAI BHAI SAARYANE !!! RAM - RAM  BHAI BHAI SAARYANE !!! RAM - RAM  BHAI BHAI SAARYANE !!! RAM - RAM  BHAI BHAI SAARYANE !!! RAM - RAM  BHAI BHAI SAARYANE !!!,2026-07-14 19:33:37
@TechEr14,ॐ कृष्णाय वासुदेवाय हरये परमात्मने ॥ प्रणतः क्लेशनाशाय गोविंदाय नमो नमः ॥,2026-07-14 19:33:42
@TechEr14,ॐ नमो हनुमते रुद्रावताराय सर्वशत्रुसंहारणाय सर्वरोग हराय सर्ववशीकरणाय रामदूताय स्वाहा ॥,2026-07-14 19:33:47
@TechEr14,27 JULY WAITING FOR UR BIRTHDAY GURUJI !!!,2026-07-14 19:33:52
@TechEr14,GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  GOOD MORNING GURUJI  ,2026-07-14 19:33:52
@TechEr14,JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI JAI KHATU SHYAM JI ,2026-07-14 19:33:57
@TechEr14,"तो start करते हैं अपने इस ताबड़तोड़, इस beautiful - beautiful session की, क्योंकि हम सभी को पता है कि पढ़ना बहुत है, और समय बहुत है कम । हमें Selection चाहिए नहीं, चाहिए ही चाहिए।",2026-07-14 19:33:57
@Riya-11-j13,hello.,2026-07-14 19:37:07
@SaritaHembrom-fu2lo,,2026-07-14 23:16:39
